,athlete_age_mean
546,25.384615384615383
547,24.526315789473685
548,22.85
549,22.31111111111111
550,26.049180327868854
551,24.694444444444443
552,23.22222222222222
553,24.0
554,25.48
555,25.03191489361702
556,23.724137931034484
557,23.85
558,26.0
559,25.7027027027027
560,19.166666666666668
561,23.0
562,25.0
563,29.0
564,35.0
565,24.22222222222222
566,26.8
567,26.333333333333332
568,31.0
569,22.77777777777778
570,32.0
571,27.0
572,24.0
573,19.75
574,37.083333333333336
575,20.0
576,20.0
577,24.276276276276278
578,25.305732484076433
579,23.225
580,21.80952380952381
581,25.73611111111111
582,23.22
583,24.597701149425287
584,24.94736842105263
585,24.047169811320753
586,26.75
587,24.53968253968254
588,24.75
589,24.875
590,19.6
591,23.697674418604652
592,28.0
593,25.3265306122449
594,27.0
595,23.89189189189189
596,21.80263157894737
597,31.0
598,19.0
599,26.333333333333332
600,35.0
601,27.0
602,24.333333333333332
603,25.5
604,25.0
605,27.0
606,25.333333333333332
607,25.652173913043477
608,23.0
609,23.666666666666668
610,23.5
611,21.4
612,27.0
613,29.0
614,20.0
615,18.0
616,20.5
617,23.0
618,24.0
619,23.91176470588235
620,25.09090909090909
621,22.16883116883117
622,23.75
623,24.476190476190474
624,27.79245283018868
625,26.141592920353983
626,24.66321243523316
627,22.67924528301887
628,22.941176470588236
629,23.201149425287355
630,23.634146341463413
631,31.875
632,33.0
633,28.0
634,24.61904761904762
635,24.892857142857142
636,27.379310344827587
637,24.59090909090909
638,23.80952380952381
639,25.862068965517242
640,24.217391304347824
641,23.9
642,25.0
643,24.9375
644,24.5
645,26.0
646,31.0
647,25.0
648,29.25
649,31.0
650,28.571428571428573
651,19.0
652,24.666666666666668
653,27.0
654,25.0
655,24.0
656,29.0
657,30.0
658,17.0
659,20.0
660,26.0
661,24.0
662,26.14
663,24.36842105263158
664,24.88888888888889
665,23.848484848484848
666,24.608695652173914
667,21.918367346938776
668,23.73542600896861
669,24.261904761904763
670,25.67391304347826
671,24.377777777777776
672,28.242424242424242
673,28.017543859649123
674,23.893617021276597
675,26.386363636363637
676,25.294642857142858
677,22.397590361445783
678,36.333333333333336
679,22.333333333333332
680,24.788732394366196
681,23.166666666666668
682,23.5
683,24.333333333333332
684,23.928571428571427
685,23.169811320754718
686,22.0
687,18.384615384615383
688,27.085714285714285
689,25.0
690,22.333333333333332
691,23.666666666666668
692,25.705882352941178
693,23.5
694,25.875
695,0.0
696,29.6
697,37.0
698,33.666666666666664
699,24.5
700,26.666666666666668
701,27.285714285714285
702,24.0
703,28.5
704,21.5
705,24.5
706,23.09090909090909
707,23.0
708,20.0
709,27.692307692307693
710,25.0
711,24.8
712,27.0
713,23.5
714,21.0
715,20.0
716,25.417910447761194
717,26.78082191780822
718,25.545454545454547
719,26.86046511627907
720,25.75
721,23.21212121212121
722,26.470588235294116
723,27.047619047619047
724,27.725490196078432
725,25.546875
726,22.5
727,26.419354838709676
728,23.837209302325583
729,24.5
730,25.31923076923077
731,24.166666666666668
732,27.056338028169016
733,25.63157894736842
734,23.19090909090909
735,27.454545454545453
736,24.2
737,25.24
738,25.153846153846153
739,23.4
740,29.161290322580644
741,22.55
742,23.05263157894737
743,28.0
744,24.5
745,25.73913043478261
746,24.19047619047619
747,25.25
748,22.923076923076923
749,27.03448275862069
750,0.0
751,27.153846153846153
752,27.0
753,25.666666666666668
754,25.0
755,25.166666666666668
756,27.0
757,22.0
758,28.666666666666668
759,25.0
760,22.666666666666668
761,28.0
762,32.44444444444444
763,25.0
764,28.0
765,0.0
766,23.0
767,25.5
768,25.0
769,26.375
770,26.0
771,22.0
772,22.0
773,22.0
774,23.0
775,22.6
776,26.0
777,23.0
778,26.5
779,24.0
780,25.5
781,35.0
782,26.0
783,22.0
784,27.139240506329113
785,26.185792349726775
786,25.21917808219178
787,27.8125
788,27.40909090909091
789,27.12
790,26.20754716981132
791,25.6
792,26.08467741935484
793,28.581818181818182
794,25.430851063829788
795,26.545454545454547
796,25.677419354838708
797,24.88372093023256
798,27.318181818181817
799,27.208333333333332
800,24.257142857142856
801,27.5
802,27.666666666666668
803,22.59493670886076
804,24.41304347826087
805,28.384615384615383
806,24.333333333333332
807,27.855072463768117
808,26.991596638655462
809,26.941176470588236
810,28.666666666666668
811,24.95
812,29.0
813,25.6
814,25.833333333333332
815,25.53488372093023
816,23.0
817,22.0
818,23.166666666666668
819,22.555555555555557
820,25.846153846153847
821,24.875
822,31.0
823,28.11111111111111
824,0.0
825,24.2
826,25.833333333333332
827,22.5
828,26.0
829,26.0
830,28.333333333333332
831,24.0
832,22.75
833,35.0
834,31.4
835,23.25
836,26.428571428571427
837,26.0
838,24.875
839,21.0
840,32.5
841,33.0
842,30.5
843,28.0
844,25.8
845,25.571428571428573
846,27.82608695652174
847,0.0
848,24.375
849,24.6
850,30.0
851,23.0
852,27.0
853,24.0
854,22.333333333333332
855,27.0
856,28.0
857,22.0
858,25.687898089171973
859,26.80263157894737
860,27.55704697986577
861,26.617021276595743
862,24.865384615384617
863,27.448275862068964
864,26.833333333333332
865,25.0
866,26.339622641509433
867,26.57843137254902
868,27.0
869,24.4
870,26.0
871,27.075
872,28.614035087719298
873,28.333333333333332
874,26.161458333333332
875,24.25
876,25.647058823529413
877,27.5
878,25.851063829787233
879,26.870967741935484
880,27.925
881,26.8
882,25.257575757575758
883,23.52127659574468
884,27.166666666666668
885,26.18032786885246
886,20.0
887,34.0
888,26.0
889,24.529411764705884
890,28.5
891,24.2
892,27.0
893,23.823529411764707
894,23.974358974358974
895,29.85185185185185
896,27.058823529411764
897,28.142857142857142
898,26.5
899,26.25
900,21.77777777777778
901,26.8
902,23.375
903,24.6
904,26.166666666666668
905,24.625
906,29.833333333333332
907,29.0
908,23.6
909,30.8
910,25.666666666666668
911,24.6
912,35.0
913,26.428571428571427
914,34.0
915,40.0
916,26.642857142857142
917,25.615384615384617
918,22.571428571428573
919,28.0
920,23.857142857142858
921,26.0
922,28.0
923,0.0
924,20.0
925,28.0
926,27.746478873239436
927,26.941176470588236
928,27.762376237623762
929,25.807692307692307
930,23.467391304347824
931,26.79032258064516
932,25.27972027972028
933,27.90909090909091
934,25.563758389261746
935,26.363636363636363
936,25.666666666666668
937,26.142857142857142
938,27.493506493506494
939,33.333333333333336
940,30.764705882352942
941,25.451612903225808
942,31.4
943,25.0
944,26.253333333333334
945,23.333333333333332
946,24.784313725490197
947,24.5
948,29.6
949,26.595744680851062
950,25.333333333333332
951,26.68421052631579
952,29.523809523809526
953,26.0
954,23.76923076923077
955,24.285714285714285
956,30.666666666666668
957,26.0
958,31.09090909090909
959,27.5
960,21.75
961,24.866666666666667
962,23.0
963,27.5
964,30.0
965,23.625
966,25.25
967,28.0
968,23.5
969,26.0
970,21.0
971,25.5
972,23.0
973,32.714285714285715
974,26.2
975,24.0
976,24.333333333333332
977,27.40740740740741
978,29.4
979,23.0
980,24.5
981,26.666666666666668
982,23.0
983,22.857142857142858
984,0.0
985,27.0
986,28.166666666666668
987,30.4
988,22.647058823529413
989,24.0
990,23.785714285714285
991,0.0
992,25.2
993,27.0
994,33.0
995,34.0
996,24.0
997,24.0
998,30.0
999,24.333333333333332
1000,27.319148936170212
1001,27.507246376811594
1002,25.385964912280702
1003,25.85
1004,28.176470588235293
1005,27.742857142857144
1006,26.015384615384615
1007,24.284615384615385
1008,27.595238095238095
1009,26.372881355932204
1010,23.0
1011,27.76923076923077
1012,23.578125
1013,26.4
1014,25.2
1015,25.214285714285715
1016,24.333333333333332
1017,24.733333333333334
1018,25.555555555555557
1019,27.473684210526315
1020,26.341463414634145
1021,25.816
1022,36.8
1023,28.63235294117647
1024,28.692307692307693
1025,26.0
1026,23.75
1027,28.0
1028,24.625
1029,24.285714285714285
1030,22.833333333333332
1031,23.23076923076923
1032,26.75
1033,25.095238095238095
1034,30.565217391304348
1035,25.08
1036,25.0
1037,25.53846153846154
1038,20.75
1039,29.0
1040,27.5
1041,22.2
1042,26.6
1043,29.0
1044,27.333333333333332
1045,28.333333333333332
1046,22.5
1047,30.0
1048,23.666666666666668
1049,24.0
1050,25.0
1051,0.0
1052,28.6875
1053,24.11111111111111
1054,30.4
1055,31.0
1056,26.2
1057,25.24
1058,26.333333333333332
1059,25.0
1060,28.0
1061,26.333333333333332
1062,25.0
1063,24.0
1064,34.5
1065,25.924242424242426
1066,27.76551724137931
1067,24.539823008849556
1068,24.82608695652174
1069,26.949685534591193
1070,24.09375
1071,28.510416666666668
1072,25.76923076923077
1073,27.291666666666668
1074,25.21951219512195
1075,26.638297872340427
1076,30.09090909090909
1077,25.8
1078,27.42222222222222
1079,26.307692307692307
1080,25.766666666666666
1081,28.291666666666668
1082,25.09090909090909
1083,26.11111111111111
1084,24.681159420289855
1085,24.307692307692307
1086,25.11111111111111
1087,26.625
1088,31.181818181818183
1089,25.25
1090,27.571428571428573
1091,30.272727272727273
1092,26.682926829268293
1093,27.071428571428573
1094,25.782608695652176
1095,24.466666666666665
1096,26.703703703703702
1097,28.25
1098,24.857142857142858
1099,26.142857142857142
1100,20.666666666666668
1101,30.0
1102,24.714285714285715
1103,26.944444444444443
1104,26.916666666666668
1105,26.0
1106,22.75
1107,28.8
1108,25.25
1109,30.5
1110,26.75
1111,27.25
1112,25.5
1113,41.0
1114,23.6
1115,26.0
1116,50.5
1117,22.0
1118,25.692307692307693
1119,20.0
1120,25.0
1121,22.0
1122,0.0
1123,34.0
1124,27.375
1125,25.4
1126,21.333333333333332
1127,28.0
1128,23.666666666666668
1129,27.285714285714285
1130,22.857142857142858
1131,22.0
1132,26.5
1133,23.0
1134,23.0
1135,21.0
1136,25.0
1137,25.0
1138,28.894736842105264
1139,22.333333333333332
1140,24.666666666666668
1141,26.0
1142,26.5
1143,22.0
1144,33.25
1145,35.0
1146,23.0
1147,21.27777777777778
1148,30.0
1149,23.0
1150,29.0
