,man_woman_ratio_total
487,10.0
488,10.0
489,10.0
490,10.0
491,2.0
492,10.0
493,1.0
494,4.0
495,10.0
496,3.4
497,10.0
498,10.0
499,10.0
500,10.0
501,10.0
502,10.0
503,10.0
504,10.0
505,10.0
506,1.2916666666666667
507,0.4166666666666667
508,14.5
509,10.0
510,2.1
511,10.0
512,1.7403846153846154
513,0.9591836734693877
514,2.4166666666666665
515,10.0
516,72.0
517,0.56
518,5.818181818181818
519,14.0
520,10.0
521,3.0
522,2.3333333333333335
523,10.0
524,2.235294117647059
525,10.0
526,10.0
527,10.0
528,10.0
529,6.5
530,9.0
531,10.0
532,10.0
533,10.0
534,10.0
535,10.0
536,10.0
537,10.0
538,0.5384615384615384
539,10.0
540,10.0
541,10.0
542,10.0
543,2.274074074074074
544,10.0
545,0.0
546,2.0588235294117645
547,1.1923076923076923
548,1.1666666666666667
549,2.4615384615384617
550,6.625
551,2.0
552,3.5
553,10.0
554,7.333333333333333
555,1.4736842105263157
556,3.8333333333333335
557,19.0
558,10.0
559,11.333333333333334
560,0.5
561,10.0
562,10.0
563,7.0
564,10.0
565,8.0
566,10.0
567,10.0
568,4.0
569,10.0
570,10.0
571,10.0
572,2.0
573,5.0
574,5.0
575,10.0
576,10.0
577,1.5419847328244274
578,2.204081632653061
579,0.05263157894736842
580,0.5555555555555556
581,3.235294117647059
582,3.5454545454545454
583,4.8
584,10.0
585,0.8275862068965517
586,3.0
587,14.75
588,8.714285714285714
589,2.2
590,1.5
591,1.3888888888888888
592,10.0
593,2.2666666666666666
594,10.0
595,10.0
596,0.5510204081632653
597,4.0
598,10.0
599,0.875
600,10.0
601,10.0
602,10.0
603,10.0
604,11.0
605,10.0
606,10.0
607,10.0
608,1.0
609,10.0
610,2.0
611,10.0
612,10.0
613,2.0
614,10.0
615,10.0
616,10.0
617,10.0
618,10.0
619,0.6190476190476191
620,0.9130434782608695
621,1.1388888888888888
622,4.0
623,2.3793103448275863
624,7.833333333333333
625,4.947368421052632
626,2.1129032258064515
627,0.358974358974359
628,0.3076923076923077
629,0.9772727272727273
630,0.8636363636363636
631,3.0
632,10.0
633,10.0
634,20.0
635,10.0
636,13.5
637,3.0
638,2.9375
639,4.8
640,0.5333333333333333
641,4.0
642,10.0
643,7.0
644,10.0
645,10.0
646,10.0
647,10.0
648,5.0
649,10.0
650,10.0
651,10.0
652,1.1
653,10.0
654,4.0
655,10.0
656,10.0
657,0.0
658,0.0
659,10.0
660,10.0
661,10.0
662,1.0833333333333333
663,3.75
664,1.3294117647058823
665,1.64
666,0.5333333333333333
667,0.75
668,1.372340425531915
669,20.0
670,5.571428571428571
671,2.4615384615384617
672,2.6666666666666665
673,7.142857142857143
674,3.7
675,1.2
676,1.2178217821782178
677,0.45614035087719296
678,10.0
679,10.0
680,2.736842105263158
681,5.0
682,1.0
683,0.5
684,10.0
685,0.65625
686,2.3333333333333335
687,10.0
688,4.833333333333333
689,10.0
690,2.0
691,10.0
692,2.4
693,1.0
694,10.0
695,0.5
696,2.0
697,10.0
698,10.0
699,1.0
700,2.0
701,10.0
702,5.0
703,0.3333333333333333
704,1.0
705,10.0
706,1.75
707,0.0
708,2.0
709,10.0
710,10.0
711,10.0
712,10.0
713,10.0
714,10.0
715,10.0
716,4.153846153846154
717,1.5172413793103448
718,0.8333333333333334
719,1.0476190476190477
720,0.3333333333333333
721,0.40425531914893614
722,0.59375
723,2.5
724,1.6842105263157894
725,1.2857142857142858
726,10.0
727,1.5833333333333333
728,1.5294117647058822
729,10.0
730,1.0155038759689923
731,1.0
732,3.176470588235294
733,2.1666666666666665
734,0.375
735,10.0
736,2.7096774193548385
737,0.3157894736842105
738,25.0
739,4.0
740,3.4285714285714284
741,10.0
742,0.3103448275862069
743,1.75
744,1.4285714285714286
745,0.9166666666666666
746,1.3333333333333333
747,7.0
748,2.7142857142857144
749,10.0
750,12.0
751,1.6
752,0.0
753,10.0
754,10.0
755,10.0
756,3.0
757,10.0
758,10.0
759,2.0
760,10.0
761,2.0
762,2.0
763,0.0
764,10.0
765,10.0
766,10.0
767,7.0
768,1.0
769,0.7777777777777778
770,10.0
771,10.0
772,0.5
773,0.0
774,0.0
775,0.6666666666666666
776,0.0
777,0.0
778,10.0
779,2.0
780,10.0
781,10.0
782,10.0
783,10.0
784,0.717391304347826
785,1.0561797752808988
786,4.214285714285714
787,2.2
788,0.2222222222222222
789,0.5625
790,1.12
791,10.0
792,0.9224806201550387
793,2.6666666666666665
794,1.1123595505617978
795,0.6923076923076923
796,0.34782608695652173
797,0.13157894736842105
798,4.076923076923077
799,0.7142857142857143
800,1.6923076923076923
801,1.0
802,10.0
803,0.7954545454545454
804,0.24324324324324326
805,4.0
806,10.0
807,2.8333333333333335
808,1.0169491525423728
809,3.25
810,10.0
811,0.17647058823529413
812,0.75
813,4.0
814,10.0
815,9.75
816,10.0
817,1.0
818,10.0
819,0.8
820,3.3333333333333335
821,1.6666666666666667
822,0.75
823,8.0
824,25.0
825,0.25
826,5.0
827,10.0
828,0.0
829,10.0
830,2.0
831,10.0
832,3.0
833,0.0
834,10.0
835,10.0
836,6.0
837,2.0
838,1.0
839,10.0
840,3.0
841,10.0
842,3.0
843,10.0
844,4.0
845,10.0
846,0.4375
847,10.0
848,1.6666666666666667
849,4.0
850,0.0
851,1.5
852,10.0
853,0.0
854,2.0
855,0.0
856,10.0
857,0.0
858,1.532258064516129
859,0.9
860,1.0135135135135136
861,1.4736842105263157
862,0.7333333333333333
863,0.45
864,0.5483870967741935
865,10.0
866,1.4090909090909092
867,2.923076923076923
868,10.0
869,9.0
870,3.0
871,2.6363636363636362
872,1.5909090909090908
873,2.0
