,past_medal_avg_num
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,11.0
12,7.0
13,3.0
14,0.0
15,13.0
16,19.0
17,0.0
18,0.0
19,3.0
20,6.0
21,0.0
22,0.0
23,2.0
24,5.0
25,0.0
26,5.0
27,0.0
28,0.0
29,0.0
30,0.0
31,32.5
32,9.0
33,4.5
34,2.0
35,44.0
36,6.0
37,15.0
38,5.5
39,5.0
40,2.0
41,10.666666666666666
42,0.0
43,4.666666666666667
44,10.0
45,1.0
46,99.0
47,48.0
48,14.0
49,3.5
50,0.0
51,0.0
52,4.0
53,6.0
54,4.0
55,23.0
56,0.0
57,4.0
58,3.0
59,1.0
60,5.666666666666667
61,10.25
62,41.5
63,3.0
64,6.666666666666667
65,11.0
66,5.0
67,38.333333333333336
68,11.0
69,6.0
70,85.25
71,2.0
72,3.25
73,5.5
74,5.0
75,16.333333333333332
76,4.0
77,2.0
78,80.2
79,40.6
80,0.0
81,32.0
82,4.666666666666667
83,6.666666666666667
84,3.6666666666666665
85,2.3333333333333335
86,9.333333333333334
87,28.0
88,7.0
89,1.0
90,6.75
91,0.0
92,15.0
93,4.0
94,0.0
95,0.0
96,0.0
97,12.75
98,3.5
99,5.5
100,80.83333333333333
101,33.6
102,9.0
103,7.0
104,40.833333333333336
105,0.0
106,2.0
107,0.0
108,0.0
109,4.5
110,35.5
111,21.333333333333332
112,6.0
113,8.2
114,3.4
115,16.0
116,3.0
117,0.0
118,0.0
119,12.5
120,0.0
121,0.0
122,5.333333333333333
123,1.0
124,3.3333333333333335
125,0.0
126,10.4
127,2.0
128,5.6
129,5.5
130,9.4
131,38.857142857142854
132,13.0
133,2.0
134,6.0
135,1.0
136,25.25
137,8.0
138,34.0
139,34.0
140,3.5
141,4.5
142,4.0
143,81.14285714285714
144,12.0
145,6.5
146,0.0
147,6.5
148,15.4
149,2.0
150,4.75
151,1.0
152,0.0
153,0.0
154,1.5
155,1.0
156,1.0
157,0.0
158,76.25
159,1.5
160,2.5
161,11.666666666666666
162,7.142857142857143
163,15.0
164,32.0
165,3.0
166,36.125
167,1.0
168,6.857142857142857
169,32.0
170,3.4285714285714284
171,25.2
172,10.166666666666666
173,6.333333333333333
174,7.857142857142857
175,1.3333333333333333
176,7.333333333333333
177,0.0
178,4.0
179,1.0
180,1.0
181,1.0
182,4.4
183,0.0
184,6.5
185,15.285714285714286
186,3.625
187,8.857142857142858
188,5.75
189,1.3333333333333333
190,7.142857142857143
191,14.857142857142858
192,7.875
193,10.666666666666666
194,25.166666666666668
195,3.0
196,30.714285714285715
197,33.77777777777778
198,30.375
199,4.0
200,4.0
201,77.0
202,4.666666666666667
203,0.0
204,8.0
205,5.666666666666667
206,7.5
207,2.0
208,1.0
209,2.0
210,6.333333333333333
211,4.0
212,1.0
213,13.333333333333334
214,1.0
215,1.0
216,4.333333333333333
217,6.2
218,9.375
219,74.0
220,8.555555555555555
221,23.857142857142858
222,1.25
223,31.7
224,8.0
225,15.625
226,29.0
227,4.555555555555555
228,7.111111111111111
229,11.714285714285714
230,2.3333333333333335
231,29.375
232,0.0
233,0.0
234,4.0
235,0.0
236,0.0
237,10.0
238,5.75
239,1.0
240,5.5
241,2.0
242,3.5714285714285716
243,1.0
244,8.11111111111111
245,0.0
246,0.0
247,0.0
248,2.5
249,1.25
250,3.0
251,3.857142857142857
252,0.0
253,4.0
254,9.8
255,30.88888888888889
256,0.0
257,10.444444444444445
258,6.833333333333333
259,8.444444444444445
260,1.2
261,30.636363636363637
262,8.5
263,16.444444444444443
264,28.8
265,22.875
266,23.25
267,2.25
268,3.4
269,1.2
270,9.625
271,73.63636363636364
272,1.0
273,7.6
274,1.0
275,5.8
276,1.0
277,4.375
278,2.0
279,7.9
280,1.3333333333333333
281,0.0
282,4.333333333333333
283,7.0
284,11.125
285,1.25
286,3.0
287,1.0
288,1.0
289,3.875
290,2.0
291,3.3333333333333335
292,0.0
293,4.2
294,1.0
295,1.5
296,51.0
297,11.909090909090908
298,3.5
299,2.0
300,8.2
301,22.555555555555557
302,0.0
303,1.3333333333333333
304,0.0
305,31.3
306,0.0
307,16.7
308,27.636363636363637
309,7.571428571428571
310,2.4
311,7.181818181818182
312,4.0
313,73.0
314,5.666666666666667
315,1.5
316,7.545454545454546
317,28.916666666666668
318,1.1666666666666667
319,4.777777777777778
320,10.333333333333334
321,0.0
322,5.666666666666667
323,4.0
324,9.11111111111111
325,1.5
326,10.4
327,1.3333333333333333
328,4.111111111111111
329,2.75
330,10.5
331,0.0
332,1.4
333,2.0
334,17.181818181818183
335,64.5
336,9.5
337,5.0
338,21.7
339,7.25
340,7.125
341,4.75
342,1.0
343,1.1666666666666667
344,1.2857142857142858
345,12.75
346,20.0
347,28.384615384615383
348,72.23076923076923
349,2.5
350,3.857142857142857
351,1.0
352,4.333333333333333
353,0.0
354,0.0
355,9.636363636363637
356,8.833333333333334
357,5.0
358,8.5
359,9.5
360,1.25
361,3.8333333333333335
362,3.5
363,6.0
364,30.09090909090909
365,26.333333333333332
366,7.0
367,6.7
368,4.0
369,1.2857142857142858
370,0.0
371,0.0
372,7.8
373,2.6
374,1.75
375,0.0
376,0.0
377,0.0
378,7.636363636363637
379,24.5
380,1.25
381,70.66666666666667
382,7.0
383,10.428571428571429
384,13.307692307692308
385,20.09090909090909
386,1.5
387,71.28571428571429
388,6.538461538461538
389,7.2727272727272725
390,9.333333333333334
391,1.6666666666666667
392,18.666666666666668
393,5.5
394,24.692307692307693
395,2.4285714285714284
396,4.25
397,6.6
398,5.5
399,4.8
400,28.0
401,27.285714285714285
402,7.153846153846154
403,1.5
404,1.0
405,1.5
406,9.0
407,0.0
408,4.0
409,0.0
410,4.625
411,1.6
412,1.0
413,2.3333333333333335
414,1.6666666666666667
415,1.0
416,7.4
417,72.5
418,0.0
419,12.125
420,1.2222222222222223
421,2.75
422,18.833333333333332
423,7.416666666666667
424,7.833333333333333
425,26.46153846153846
426,13.785714285714286
427,23.857142857142858
428,7.071428571428571
429,71.26666666666667
430,1.3333333333333333
431,5.5
432,19.0
433,6.666666666666667
434,2.142857142857143
435,7.0
436,3.8
437,8.5
438,0.0
439,6.5
440,7.714285714285714
441,0.0
442,8.923076923076923
443,1.7777777777777777
444,4.222222222222222
445,26.4
446,1.5
447,3.6923076923076925
448,7.818181818181818
449,1.0
450,1.0
451,1.0
452,4.0
453,3.25
454,6.357142857142857
455,1.0
456,0.0
457,0.0
458,1.75
459,1.0
460,3.0
461,7.454545454545454
462,1.2
463,16.0
464,72.8
465,6.571428571428571
466,17.615384615384617
467,1.7142857142857142
468,23.0
469,1.6
470,13.0
471,25.5
472,23.066666666666666
473,7.230769230769231
474,7.3
475,14.8
476,0.0
477,1.25
478,18.785714285714285
