,man_ratio_total
174,0.8888888888888888
175,1.0
176,0.5833333333333334
177,1.0
178,0.6
179,1.0
180,1.0
181,1.0
182,0.6
183,1.0
184,1.0
185,0.8904761904761904
186,0.98
187,1.0
188,0.5294117647058824
189,1.0
190,0.7837837837837838
191,0.9859154929577465
192,0.7619047619047619
193,1.0
194,1.0
195,1.0
196,1.0
197,0.8611111111111112
198,1.0
199,0.6666666666666666
200,1.0
201,0.8260869565217391
202,1.0
203,1.0
204,0.7727272727272727
205,0.9090909090909091
206,0.6666666666666666
207,1.0
208,1.0
209,1.0
210,0.9523809523809523
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,0.6
218,1.0
219,0.8513513513513513
220,0.8166666666666667
221,0.9655172413793104
222,1.0
223,0.9107142857142857
224,0.6666666666666666
225,0.9682539682539683
226,0.9411764705882353
227,0.0
228,0.7755102040816326
229,1.0
230,1.0
231,0.9863013698630136
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,0.9166666666666666
239,1.0
240,1.0
241,1.0
242,0.5
243,1.0
244,0.3333333333333333
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,0.6732673267326733
255,0.8857142857142857
256,0.6837606837606838
257,1.0
258,0.64
259,0.6111111111111112
260,1.0
261,0.7741935483870968
262,1.0
263,0.9811320754716981
264,0.9743589743589743
265,0.975
266,0.825
267,1.0
268,1.0
269,1.0
270,0.9230769230769231
271,0.8846153846153846
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,0.8
278,1.0
279,0.7777777777777778
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,0.3333333333333333
289,0.7857142857142857
290,1.0
291,1.0
292,1.0
293,0.6666666666666666
294,1.0
295,1.0
296,0.8284023668639053
297,0.71875
298,0.631578947368421
299,0.5789473684210527
300,1.0
301,1.0
302,0.7017543859649122
303,1.0
304,1.0
305,0.7941176470588235
306,1.0
307,1.0
308,0.96875
309,0.7142857142857143
310,1.0
311,0.9473684210526315
312,1.0
313,0.8305084745762712
314,1.0
315,1.0
316,0.5714285714285714
317,0.8
318,1.0
319,0.6885245901639344
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,0.75
326,1.0
327,1.0
328,0.42857142857142855
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,0.9318181818181818
335,0.7692307692307693
336,0.9655172413793104
337,1.0
338,1.0
339,1.0
340,0.6363636363636364
341,0.4
342,1.0
343,1.0
344,1.0
345,0.8923076923076924
346,0.7159090909090909
347,0.7142857142857143
348,0.8125
349,1.0
350,0.7666666666666667
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,0.8571428571428571
365,1.0
366,1.0
367,0.6944444444444444
368,1.0
369,1.0
370,1.0
371,1.0
372,0.3333333333333333
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,0.7619047619047619
379,0.8869565217391304
380,1.0
381,0.7241379310344828
382,0.8363636363636363
383,0.71875
384,0.8392857142857143
385,1.0
386,1.0
387,0.7733333333333333
388,1.0
389,0.7
390,0.8333333333333334
391,1.0
392,0.98
393,0.5833333333333334
394,0.9032258064516129
395,1.0
396,1.0
397,1.0
398,1.0
399,0.625
400,1.0
401,0.7142857142857143
402,1.0
403,0.8333333333333334
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,0.5517241379310345
417,0.7393617021276596
418,0.6862745098039216
419,0.8208955223880597
420,1.0
421,0.9310344827586207
422,1.0
423,0.8571428571428571
424,0.7959183673469388
425,1.0
426,0.8641975308641975
427,0.9259259259259259
428,1.0
429,0.7181208053691275
430,1.0
431,0.5652173913043478
432,1.0
433,0.6216216216216216
434,0.7777777777777778
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,0.7959183673469388
442,0.9230769230769231
443,1.0
444,1.0
445,0.8333333333333334
446,1.0
447,0.6
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,0.6
454,0.4
455,0.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,0.9310344827586207
462,1.0
463,0.6824324324324325
464,0.7867298578199052
465,0.8
466,1.0
467,1.0
468,0.7291666666666666
469,1.0
470,0.7678571428571429
471,0.8620689655172413
472,1.0
473,0.8333333333333334
474,0.9565217391304348
475,0.8148148148148148
476,0.26666666666666666
477,1.0
478,0.8
479,1.0
480,0.8181818181818182
481,1.0
482,1.0
483,1.0
484,0.7619047619047619
485,0.7935483870967742
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,0.6666666666666666
492,1.0
493,0.5
494,0.8
495,1.0
496,0.7727272727272727
497,1.0
498,1.0
499,1.0
500,1.0
501,1.0
502,1.0
503,1.0
504,1.0
505,1.0
506,0.5636363636363636
507,0.29411764705882354
508,0.9354838709677419
509,1.0
510,0.6774193548387096
511,1.0
512,0.6350877192982456
513,0.4895833333333333
514,0.7073170731707317
515,1.0
516,0.9863013698630136
517,0.358974358974359
518,0.8533333333333334
519,0.9333333333333333
520,1.0
521,0.75
522,0.7
523,1.0
524,0.6909090909090909
525,1.0
526,1.0
527,1.0
528,1.0
529,0.8666666666666667
530,0.9
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,1.0
538,0.35
539,1.0
540,1.0
541,1.0
542,1.0
543,0.6945701357466063
544,1.0
545,0.0
546,0.6730769230769231
547,0.543859649122807
548,0.5384615384615384
549,0.7111111111111111
550,0.8688524590163934
551,0.6666666666666666
552,0.7777777777777778
553,1.0
554,0.88
555,0.5957446808510638
556,0.7931034482758621
557,0.95
558,1.0
559,0.918918918918919
560,0.3333333333333333
561,1.0
562,1.0
563,0.875
564,1.0
565,0.8888888888888888
566,1.0
567,1.0
568,0.8
569,1.0
570,1.0
571,1.0
572,0.6666666666666666
573,0.8333333333333334
574,0.8333333333333334
575,1.0
576,1.0
577,0.6066066066066066
578,0.6878980891719745
579,0.05
580,0.35714285714285715
