,MEAN(countries_at_olympic_games.NUM_UNIQUE(medals_won.Event)),ABSOLUTE(MEAN(medals_won.Height)),MIN(countries_at_olympic_games.MEAN(medals_won.Height)),MEAN(medals_won.Height),MEAN(countries_at_olympic_games.COUNT(medals_won)),MEAN(countries_at_olympic_games.SUM(medals_won.Height)),MAX(countries_at_olympic_games.MIN(medals_won.Age)),MEAN(countries_at_olympic_games.SUM(medals_won.Weight)),"PERCENTILE(TREND(medals_won.Height, Year))",MIN(countries_at_olympic_games.SKEW(medals_won.Age)),PERCENTILE(MAX(medals_won.Age)),MAX(countries_at_olympic_games.MEAN(medals_won.Weight)),SKEW(countries_at_olympic_games.SUM(medals_won.Weight)),"TREND(medals_won.Height, Year)",MEAN(countries_at_olympic_games.SKEW(medals_won.Age)),PERCENTILE(NUM_UNIQUE(medals_won.Medal)),MIN(countries_at_olympic_games.COUNT(medals_won)),MEAN(countries_at_olympic_games.MIN(medals_won.Height)),COUNT(medals_won.Medal WHERE sports.Sport = Gymnastics),MEAN(countries_at_olympic_games.MEAN(medals_won.Weight)),MIN(atheletes.Age),MEAN(countries_at_olympic_games.MIN(medals_won.Weight)),ABSOLUTE(NUM_UNIQUE(medals_won.Event)),"TREND(countries_at_olympic_games.SUM(medals_won.Height), Year)",MEAN(countries_at_olympic_games.MEAN(medals_won.Height)),PERCENTILE(SUM(medals_won.Weight)),MEAN(countries_at_olympic_games.MAX(medals_won.Weight)),"TREND(medals_won.Weight, countries_at_olympic_games.Year)","TREND(countries_at_olympic_games.NUM_UNIQUE(medals_won.Event), Year)",PERCENTILE(SKEW(medals_won.Weight)),MAX(countries_at_olympic_games.COUNT(medals_won)),"TREND(countries_at_olympic_games.SKEW(medals_won.Weight), Year)",MEAN(countries_at_olympic_games.MIN(medals_won.Age)),MEAN(countries_at_olympic_games.SUM(medals_won.Age)),PERCENTILE(MIN(medals_won.Height)),MIN(countries_at_olympic_games.SUM(medals_won.Height)),"TREND(countries_at_olympic_games.COUNT(medals_won), Year)",MAX(atheletes.Age),"PERCENTILE(TREND(medals_won.Age, Year))",SKEW(countries_at_olympic_games.SUM(medals_won.Height)),"TREND(countries_at_olympic_games.SUM(medals_won.Weight), Year)",MEAN(medals_won.Weight),"ABSOLUTE(TREND(medals_won.Height, Year))",MIN(countries_at_olympic_games.MAX(medals_won.Height)),MEAN(atheletes.Age),PERCENTILE(SUM(medals_won.Height)),MAX(countries_at_olympic_games.MEAN(medals_won.Height)),MEAN(countries_at_olympic_games.SKEW(medals_won.Height)),SKEW(medals_won.Height),PERCENTILE(MEAN(medals_won.Weight)),PERCENTILE(MIN(medals_won.Weight)),ABSOLUTE(SKEW(medals_won.Height)),"TREND(countries_at_olympic_games.MAX(medals_won.Weight), Year)",MAX(medals_won.Weight),COUNT(medaling_athletes WHERE athlete.Gender = Women),SKEW(countries_at_olympic_games.NUM_UNIQUE(medals_won.Sport)),SKEW(countries_at_olympic_games.MIN(medals_won.Weight)),MIN(countries_at_olympic_games.SUM(medals_won.Weight)),MEAN(countries_at_olympic_games.MEAN(medals_won.Age)),MEAN(countries_at_olympic_games.NUM_UNIQUE(medals_won.Sport)),"PERCENTILE(TREND(medals_won.Weight, Year))",MAX(countries_at_olympic_games.SKEW(medals_won.Height)),PERCENTILE(gdpPppPerCapitaRank),PERCENTILE(SKEW(medals_won.Age)),MEAN(countries_at_olympic_games.MAX(medals_won.Age)),"ABSOLUTE(TREND(medals_won.Age, Year))",NUM_UNIQUE(countries_at_olympic_games.olympic_games.City),"ABSOLUTE(TREND(medals_won.Weight, Year))",SUM(countries_at_olympic_games.MIN(medals_won.Height)),MODE(medals_won.countries_at_olympic_games.Olympic Games ID) = 1.0,ABSOLUTE(MEAN(medals_won.Weight)),"TREND(countries_at_olympic_games.MAX(medals_won.Height), Year)",PERCENTILE(SKEW(medals_won.Height)),MAX(countries_at_olympic_games.SUM(medals_won.Height)),ABSOLUTE(MAX(medals_won.Age)),"TREND(countries_at_olympic_games.SKEW(medals_won.Age), Year)",NUM_UNIQUE(countries_at_olympic_games.MODE(medals_won.Sport)),SKEW(countries_at_olympic_games.NUM_UNIQUE(medals_won.Medal)),PERCENTILE(MAX(medals_won.Weight)),PERCENTILE(NUM_UNIQUE(medals_won.Event)),"TREND(countries_at_olympic_games.MIN(medals_won.Age), Year)",SKEW(countries_at_olympic_games.MAX(medals_won.Height)),PERCENTILE(COUNT(countries_at_olympic_games)),MAX(countries_at_olympic_games.SUM(medals_won.Weight)),ABSOLUTE(populationDensitySqMi),MIN(countries_at_olympic_games.SUM(medals_won.Age)),NUM_UNIQUE(medals_won.Event),populationDensitySqMi,"TREND(countries_at_olympic_games.MAX(medals_won.Age), Year)",ABSOLUTE(SKEW(medals_won.Age)),PERCENTILE(COUNT(medals_won)),SUM(countries_at_olympic_games.MIN(medals_won.Age)),SKEW(countries_at_olympic_games.MAX(medals_won.Age)),SKEW(countries_at_olympic_games.MEAN(medals_won.Weight)),"RATIO(COUNT(athletes WHERE Gender = Men), COUNT(athletes WHERE Gender = Women))","RATIO(COUNT(athletes WHERE Gender = Women), COUNT(athletes.Athelete))",PERCENTILE(MEAN(medals_won.Height))
13,1.0,,,,3.0,0.0,,0.0,,,,,,,,0.6363636363636364,3.0,,0,,34.0,,1.0,,,0.4954545454545455,,,,,3.0,,,0.0,,0.0,,34.0,,,,,,,34.0,0.4954545454545455,,,,,,,,,3,,,0.0,,1.0,,,,,,,1.0,,0.0,0.0,,,,0.0,,,1.0,,,0.09090909090909093,,,0.9772727272727272,0.0,,0.0,1.0,,,,0.9613636363636364,0.0,,,10.333333333333334,0.08823529411764706,
14,,,,,,,,,,,,,,,,,,,0,,19.0,,,,,0.4954545454545455,,,,,,,,,,,,47.0,,,,,,,27.25,0.4954545454545455,,,,,,,,,0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.4772727272727273,,,,,,,,0.4772727272727273,0.0,,,10.0,0.0,
15,11.0,162.2,162.2,162.2,13.0,811.0,24.0,322.0,0.75,0.9268068798172748,1.0,64.4,,0.0,0.9268068798172748,0.6363636363636364,13.0,159.0,30,64.4,15.0,56.0,11.0,,162.2,0.9954545454545456,70.0,0.0,,0.5,13.0,,24.0,363.0,0.3333333333333333,811.0,,44.0,0.5555555555555556,,,64.4,0.0,167.0,25.259259259259263,0.9954545454545456,162.2,0.6085806194501975,0.6085806194501975,0.3333333333333333,0.3333333333333333,0.6085806194501975,,70.0,0,,,322.0,27.923076923076927,4.0,0.75,0.6085806194501975,,0.8888888888888888,36.0,0.0,1.0,0.0,159.0,0.0,64.4,,1.0,811.0,36.0,,1.0,,0.3333333333333333,0.8181818181818182,,,0.9772727272727272,322.0,,363.0,11.0,,,0.9268068798172748,0.990909090909091,24.0,,,10.0,0.0,0.3333333333333333
16,12.0,179.53846153846158,179.53846153846158,179.53846153846158,19.0,2334.0,20.0,795.0,0.75,0.39701577031101504,0.6,72.27272727272727,,0.0,0.39701577031101504,0.6363636363636364,19.0,170.0,0,72.27272727272727,15.0,66.0,12.0,,179.53846153846158,1.0,81.0,0.0,,1.0,19.0,,20.0,438.0,0.6666666666666666,2334.0,,41.0,0.5555555555555556,,,72.27272727272727,0.0,188.0,24.407407407407412,1.0,179.53846153846158,0.18548790382855213,0.18548790382855213,0.6666666666666666,0.6666666666666666,0.18548790382855213,,81.0,4,,,795.0,23.052631578947373,2.0,0.75,0.18548790382855213,0.08415841584158416,0.6666666666666666,27.0,0.0,1.0,0.0,170.0,0.0,72.27272727272727,,0.5,2334.0,27.0,,1.0,,0.6666666666666666,0.9090909090909092,,,0.9772727272727272,795.0,87.0,438.0,12.0,87.0,,0.39701577031101504,0.9954545454545456,20.0,,,12.75,0.07272727272727272,0.6666666666666666
17,,,,,,,,,,,,,,,,,,,0,,19.0,,,,,0.4954545454545455,,,,,,,,,,,,50.0,,,,,,,28.470588235294123,0.4954545454545455,,,,,,,,,0,,,,,,,,0.21782178217821785,,,,,,0.0,0.0,,,,,,,,,,,,,0.4772727272727273,,,,,,,,0.4772727272727273,0.0,,,10.0,0.0,
18,,,,,,,,,,,,,,,,,,,0,,23.0,,,,,0.4954545454545455,,,,,,,,,,,,40.0,,,,,,,32.333333333333336,0.4954545454545455,,,,,,,,,0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.4772727272727273,,,,,,,,0.4772727272727273,0.0,,,10.0,0.0,
19,3.0,,,,3.0,0.0,30.0,0.0,,0.0,0.9,,,,0.0,0.18181818181818185,3.0,,3,,30.0,,3.0,,,0.4954545454545455,,,,,3.0,,30.0,90.0,,0.0,,49.0,0.5555555555555556,,,,,,35.46666666666667,0.4954545454545455,,,,,,,,,0,,,0.0,30.0,1.0,,,0.10891089108910892,0.5,30.0,0.0,1.0,,0.0,0.0,,,,0.0,30.0,,1.0,,,0.2727272727272727,,,0.9772727272727272,0.0,,90.0,3.0,,,0.0,0.9613636363636364,30.0,,,10.0,0.0,
20,6.0,,,,6.0,0.0,21.0,0.0,,0.0,0.8,,,,0.0,0.6363636363636364,6.0,,0,,20.0,,6.0,,,0.4954545454545455,,,,,6.0,,21.0,150.0,,0.0,,32.0,0.5555555555555556,,,,,,27.66666666666667,0.4954545454545455,,,,,,,,,0,,,0.0,25.0,3.0,,,0.19801980198019806,0.5,29.0,0.0,1.0,,0.0,0.0,,,,0.0,29.0,,1.0,,,0.5454545454545454,,,0.9772727272727272,0.0,,150.0,6.0,,,0.0,0.9772727272727272,21.0,,,10.0,0.0,
21,,,,,,,,,,,,,,,,,,,0,,22.0,,,,,0.4954545454545455,,,,,,,,,,,,35.0,,,,,,,28.5,0.4954545454545455,,,,,,,,,1,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.4772727272727273,,,,,,,,0.4772727272727273,0.0,,,1.0,0.5,
22,,,,,,,,,,,,,,,,,,,0,,24.0,,,,,0.4954545454545455,,,,,,,,,,,,24.0,,,,,,,24.0,0.4954545454545455,,,,,,,,,0,,,,,,,,0.7673267326732673,,,,,,0.0,0.0,,,,,,,,,,,,,0.4772727272727273,,,,,,,,0.4772727272727273,0.0,,,10.0,0.0,
